sample,fastq_1,fastq_2
CONTROL_REP1,Brain-10ng-MAPK-Rep1_S2_L001_R1_001.fastq.gz,Brain-10ng-MAPK-Rep1_S2_L001_R2_001.fastq.gz
TREATMENT_REP1,UHR-10ng-MAPK-Rep1_S1_L001_R1_001.fastq.gz,UHR-10ng-MAPK-Rep1_S1_L001_R2_001.fastq.gz
